Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CD70	1	1	799	0.1%	Yes
AP3D1	1	1	799	0.1%	No
PLEKHA6	1	1	799	0.1%	No
LHFPL3	1	1	799	0.1%	No
IGH	15	14	799	1.8%	Yes
MLH1	1	1	799	0.1%	Yes
IGL	1	1	799	0.1%	Yes
VEGFA	1	1	799	0.1%	Yes
RIT2	1	1	799	0.1%	No
AXL	2	2	799	0.3%	Yes
KLHL6	1	1	799	0.1%	Yes
TTC3	1	1	799	0.1%	No
TACC3	6	6	799	0.8%	No
FAS	1	1	799	0.1%	Yes
CTNNB1	4	4	799	0.5%	Yes
TACC1	1	1	799	0.1%	No
TACC2	1	1	799	0.1%	No
TJP3	1	1	799	0.1%	No
MPL	1	1	799	0.1%	Yes
NR3C1	2	2	799	0.3%	No
CELSR1	1	1	799	0.1%	No
DUX4	1	1	799	0.1%	No
CELSR3	1	1	799	0.1%	No
IGF1R	3	3	799	0.4%	Yes
RGS4	1	1	799	0.1%	No
DOCK10	1	1	799	0.1%	No
CCND3	1	1	799	0.1%	Yes
CCND1	6	6	799	0.8%	Yes
KIF5B	4	4	799	0.5%	Yes
NARS2	1	1	799	0.1%	No
EP300	6	6	799	0.8%	Yes
ARID2	2	2	799	0.3%	Yes
BORCS5	1	1	799	0.1%	No
PDGFRB	1	1	799	0.1%	Yes
PDGFRA	8	7	799	0.9%	Yes
SZT2	1	1	799	0.1%	Yes
KDM2B	1	1	799	0.1%	Yes
HGF	1	1	799	0.1%	Yes
LMO2	1	1	799	0.1%	Yes
PAM16	1	1	799	0.1%	No
TSC2	2	2	799	0.3%	Yes
UBE4A	1	1	799	0.1%	No
SDHC	1	1	799	0.1%	Yes
SDHD	1	1	799	0.1%	Yes
IPCEF1	1	1	799	0.1%	No
SDHB	1	1	799	0.1%	Yes
TRPC4AP	1	1	799	0.1%	No
MYCL	2	2	799	0.3%	Yes
MYCN	1	1	799	0.1%	Yes
CCNE1	1	1	799	0.1%	Yes
FANCD2	1	1	799	0.1%	Yes
RAF1	8	8	799	1.0%	Yes
ABCG1	1	1	799	0.1%	No
CARD11	2	2	799	0.3%	Yes
MRPL45P2	1	1	799	0.1%	No
RTN3	1	1	799	0.1%	No
CLEC16A	1	1	799	0.1%	No
DTX1	1	1	799	0.1%	Yes
CACNA1D	1	1	799	0.1%	Yes
FBLN1	1	1	799	0.1%	No
LPP	1	1	799	0.1%	Yes
SEL1L3	1	1	799	0.1%	No
KIF3B	1	1	799	0.1%	No
SNTG1	1	1	799	0.1%	No
CASKIN2	1	1	799	0.1%	No
ZMAT5	1	1	799	0.1%	No
CDH23	1	1	799	0.1%	No
CAMTA1	1	1	799	0.1%	Yes
MYH14	1	1	799	0.1%	No
TRDC	1	1	799	0.1%	No
SUDS3	2	2	799	0.3%	No
WNT1	1	1	799	0.1%	No
FAM83B	1	1	799	0.1%	No
MARK1	1	1	799	0.1%	No
CNTLN	1	1	799	0.1%	No
SMAD2	2	2	799	0.3%	Yes
SMAD4	7	7	799	0.9%	Yes
STIL	1	1	799	0.1%	Yes
CNTN5	1	1	799	0.1%	No
CCDC138	1	1	799	0.1%	No
HMGA2	2	2	799	0.3%	Yes
ARHGAP26	2	2	799	0.3%	Yes
ESR1	4	4	799	0.5%	Yes
LRP1B	8	8	799	1.0%	Yes
ARHGAP23	2	2	799	0.3%	No
NFKBIA	2	2	799	0.3%	Yes
AFDN	1	1	799	0.1%	Yes
SDK1	1	1	799	0.1%	No
DLG2	1	1	799	0.1%	No
NR4A3	1	1	799	0.1%	Yes
GNAQ	2	2	799	0.3%	Yes
FGF19	1	1	799	0.1%	Yes
MKRN1	2	2	799	0.3%	No
GNAS	1	1	799	0.1%	Yes
MKRN2	1	1	799	0.1%	No
TCF3	3	3	799	0.4%	Yes
AMOTL1	1	1	799	0.1%	No
FGFR4	2	2	799	0.3%	Yes
FGFR3	11	11	799	1.4%	Yes
FGFR2	20	18	799	2.3%	Yes
FGFR1	11	11	799	1.4%	Yes
PICALM	1	1	799	0.1%	Yes
KDM5A	3	3	799	0.4%	Yes
GSK3B	2	2	799	0.3%	Yes
KDM5C	1	1	799	0.1%	Yes
DDX3X	1	1	799	0.1%	Yes
MAST4	1	1	799	0.1%	No
USP34	1	1	799	0.1%	No
TNFAIP3	2	2	799	0.3%	Yes
CMAHP	1	1	799	0.1%	No
CHD2	2	2	799	0.3%	Yes
GRM1	1	1	799	0.1%	No
AFF1	2	2	799	0.3%	Yes
TTC28	2	2	799	0.3%	No
GHR	1	1	799	0.1%	No
GRM3	1	1	799	0.1%	Yes
FLCN	3	3	799	0.4%	Yes
HEPH	1	1	799	0.1%	No
HIST1H1D	1	1	799	0.1%	Yes
MYO18A	1	1	799	0.1%	Yes
NOS1	2	2	799	0.3%	No
SCARF2	1	1	799	0.1%	No
POLE	6	5	799	0.6%	Yes
ARFGEF3	1	1	799	0.1%	No
KDM6A	9	9	799	1.1%	Yes
ARHGEF10	1	1	799	0.1%	No
EED	1	1	799	0.1%	Yes
MYEOV	2	2	799	0.3%	No
TOP1P1	1	1	799	0.1%	No
AXIN1	2	2	799	0.3%	Yes
ETV1	9	9	799	1.1%	Yes
ARID1A	9	9	799	1.1%	Yes
ETV4	5	5	799	0.6%	Yes
YWHAZ	5	5	799	0.6%	No
ETV5	2	2	799	0.3%	Yes
ETV6	11	11	799	1.4%	Yes
TGFBR2	2	2	799	0.3%	Yes
TGFBR3	1	1	799	0.1%	No
GAP43	1	1	799	0.1%	No
RBL1	1	1	799	0.1%	No
IRF2	1	1	799	0.1%	Yes
TRNP1	1	1	799	0.1%	No
CDHR3	1	1	799	0.1%	No
DOCK2	1	1	799	0.1%	No
ECT2L	1	1	799	0.1%	Yes
USP15	3	3	799	0.4%	No
DNAH1	1	1	799	0.1%	No
NRXN1	1	1	799	0.1%	No
SPG7	1	1	799	0.1%	No
ACVR1B	1	1	799	0.1%	Yes
CBL	1	1	799	0.1%	Yes
AURKB	1	1	799	0.1%	Yes
AURKA	1	1	799	0.1%	Yes
IFT74	1	1	799	0.1%	No
GNA15	1	1	799	0.1%	No
ERBB3	2	2	799	0.3%	Yes
ERBB4	1	1	799	0.1%	Yes
GNA11	12	12	799	1.5%	Yes
POLD1	5	4	799	0.5%	Yes
TRA2B	1	1	799	0.1%	No
MKNK1	1	1	799	0.1%	Yes
ERBB2	18	18	799	2.3%	Yes
MAN1C1	1	1	799	0.1%	No
MAPK1	2	2	799	0.3%	Yes
EPS8L2	1	1	799	0.1%	No
MTA3	1	1	799	0.1%	No
SPEN	6	6	799	0.8%	Yes
TAF15	1	1	799	0.1%	Yes
KDM4C	2	2	799	0.3%	Yes
HSD3B2	2	2	799	0.3%	No
HSD3B1	2	2	799	0.3%	Yes
MX1	1	1	799	0.1%	No
TSHR	1	1	799	0.1%	Yes
TNIP2	1	1	799	0.1%	No
CARM1	1	1	799	0.1%	Yes
TEK	1	1	799	0.1%	Yes
GPD1L	1	1	799	0.1%	No
TAF3	1	1	799	0.1%	No
